"url","slug","h1","seriesOrModel","category","currentStatus","mainImage","parameterSource","contentMissing","duplicateRisk","needsSplit","productFamily"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/cbs-drawer-type-magnetic-filter/","cbs-drawer-type-magnetic-filter","CBS drawer type magnetic filter","cbs-drawer-type-magnetic-filter","Magnetic Components & Filters","published","/assets/images/source-products/cbs-drawer-type-magnetic-filter.jpg","https://cowinmagnet.com/en/products/cbs-drawer-type-magnetic-filter","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","magnetic-filter-or-component"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/clc-type-slot-magnetic-filter/","clc-type-slot-magnetic-filter","CLC type slot magnetic filter","clc-type-slot-magnetic-filter","Magnetic Components & Filters","published","/assets/images/source-products/clc-type-slot-magnetic-filter.jpg","https://cowinmagnet.com/en/products/clc-type-slot-magnetic-filter","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","magnetic-filter-or-component"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/clc-type-wet-slot-magnetic-filter/","clc-type-wet-slot-magnetic-filter","CLC type wet slot magnetic filter","clc-type-wet-slot-magnetic-filter","Magnetic Components & Filters","published","/assets/images/source-products/clc-type-wet-slot-magnetic-filter.jpg","https://cowinmagnet.com/en/products/clc-type-wet-slot-magnetic-filter","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","magnetic-filter-or-component"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/cyg-wet-pipeline-magnetic-filter/","cyg-wet-pipeline-magnetic-filter","CYG wet pipeline magnetic filter","cyg-wet-pipeline-magnetic-filter","Magnetic Components & Filters","published","/assets/images/source-products/cyg-wet-pipeline-magnetic-filter.jpg","https://cowinmagnet.com/en/products/cyg-wet-pipeline-magnetic-filter","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","magnetic-filter-or-component"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/drawer-magnet/","drawer-magnet","Drawer Magnet","drawer-magnet","Magnetic Components & Filters","published","/assets/images/source-products/drawer-magnet.webp","https://cowinmagnet.com/en/products/drawer-magnet","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","magnetic-filter-or-component"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/hump-magnet/","hump-magnet","Hump Magnet","hump-magnet","Magnetic Components & Filters","published","/assets/images/source-products/hump-magnet.webp","https://cowinmagnet.com/en/products/hump-magnet","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","magnetic-filter-or-component"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/magnetic-grid/","magnetic-grid","Magnetic Grid","magnetic-grid","Magnetic Components & Filters","published","/assets/images/source-products/magnetic-grid.webp","https://cowinmagnet.com/en/products/magnetic-grid","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","magnetic-filter-or-component"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/magnetic-rod/","magnetic-rod","Magnetic Rod","magnetic-rod","Magnetic Components & Filters","published","/assets/images/source-products/magnetic-rod.png","https://cowinmagnet.com/en/products/magnetic-rod","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","magnetic-filter-or-component"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/magnetic-trap/","magnetic-trap","Magnetic Trap","magnetic-trap","Magnetic Components & Filters","published","/assets/images/source-products/magnetic-trap.webp","https://cowinmagnet.com/en/products/magnetic-trap","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","magnetic-filter-or-component"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/permanent-filter-bar-magnetic-neodymium-rod/","permanent-filter-bar-magnetic-neodymium-rod","Strong 6000-16000 Gauss Iron Absorbing Permanent Filter Bar Magnetic Neodymium Rod","permanent-filter-bar-magnetic-neodymium-rod","Magnetic Components & Filters","published","/assets/images/source-products/permanent-filter-bar-magnetic-neodymium-rod.webp","https://cowinmagnet.com/en/products/permanent-filter-bar-magnetic-neodymium-rod","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","magnetic-filter-or-component"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/rcyz-type-pipeline-magnetic-filter/","rcyz-type-pipeline-magnetic-filter","RCYZ type pipeline magnetic filter","rcyz-type-pipeline-magnetic-filter","Magnetic Components & Filters","published","/assets/images/source-products/rcyz-type-pipeline-magnetic-filter.jpg","https://cowinmagnet.com/en/products/rcyz-type-pipeline-magnetic-filter","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","magnetic-filter-or-component"
"https://cowinmagnet.co.za/en-za/products/magnetic-components-and-filters/rotary-pipe-magnet/","rotary-pipe-magnet","Rotary Pipe Magnet","rotary-pipe-magnet","Magnetic Components & Filters","published","/assets/images/source-products/rotary-pipe-magnet.webp","https://cowinmagnet.com/en/products/rotary-pipe-magnet","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","magnetic-filter-or-component"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/belt-high-gradient-magnetic-separator/","belt-high-gradient-magnetic-separator","Belt High Gradient Magnetic Separator","belt-high-gradient-magnetic-separator","Magnetic Separation Equipment","published","/assets/images/source-products/belt-high-gradient-magnetic-separator.jpg","https://cowinmagnet.com/en/products/belt-high-gradient-magnetic-separator","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","unclassified-product-family"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/cbz-type-rotary-automatic-magnetic-separator/","cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","cbz-type-rotary-automatic-magnetic-separator","Magnetic Separation Equipment","published","/assets/images/source-products/cbz-type-rotary-automatic-magnetic-separator.jpg","https://cowinmagnet.com/en/products/cbz-type-rotary-automatic-magnetic-separator","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","unclassified-product-family"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/cgb-type-rotary-semi-automatic-magnetic-separator/","cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","cgb-type-rotary-semi-automatic-magnetic-separator","Magnetic Separation Equipment","published","/assets/images/source-products/cgb-type-rotary-semi-automatic-magnetic-separator.jpg","https://cowinmagnet.com/en/products/cgb-type-rotary-semi-automatic-magnetic-separator","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","magnetic-filter-or-component"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/cgt-type-super-strong-full-magnetic-drum/","cgt-type-super-strong-full-magnetic-drum","CGT type super strong full magnetic drum","cgt-type-super-strong-full-magnetic-drum","Magnetic Separation Equipment","published","/assets/images/source-products/cgt-type-super-strong-full-magnetic-drum.jpg","https://cowinmagnet.com/en/products/cgt-type-super-strong-full-magnetic-drum","drum diameter and length; tank type; slurry and particle-size range; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","wet-drum-or-wet-magnetic-separator"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/clt-type-magnetic-desliming-tank/","clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","clt-type-magnetic-desliming-tank","Magnetic Separation Equipment","published","/assets/images/source-products/clt-type-magnetic-desliming-tank.jpg","https://cowinmagnet.com/en/products/clt-type-magnetic-desliming-tank","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","unclassified-product-family"
"https://cowinmagnet.co.za/en-za/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separation/","cqz-type-fully-automatic-online-magnetic-separation","CQZ type fully automatic online magnetic separation","cqz-type-fully-automatic-online-magnetic-separation","Magnetic Separation Equipment","published","/assets/images/source-products/cqz-type-fully-automatic-online-magnetic-separation.jpg","https://cowinmagnet.com/en/products/cqz-type-fully-automatic-online-magnetic-separation","correct product family and working principle; confirmed model/series drawing; application-specific dimensions; approved performance values; verified options and exclusions; reviewer approval","","review","magnetic-filter-or-component"
